event_id,filename,sentence_count,counts,lower_idx,upper_idx,length,anumber,report_type,tokens,prop,chars,prob,pred,event_text,DATE,LOCATION,MINERAL,ORE_DEPOSIT,ROCK,STRAT,TIMESCALE,TRIGGER
a081144_c117_2007_2008a_rpt_15837153_185_187,a081144_c117_2007_2008a_rpt_15837153.json,302,1,185,187,3,81144,Annual,rab drilling be conduct to test for mineralisation along the basalt sediment contact south of the old battery,0.009933774834437088,362,0.29484987,0,Nickel Exploration Activities conducted on Penfold Tenements by Lodestar Minerals 35 RAB drilling was conducted to test for mineralisation along the basalt/sediment contact south of the old battery. The contact was successfully intercepted on all five drill lines with the basalt up against black shales in the northern lines and sandstone in the southern lines.,,,Nickel,,"basalt, sediment, basalt, black shales, sandstone",,,mineralisation
a072089_kun_ann_05_17468294_369_371,a072089_kun_ann_05_17468294.json,944,1,369,371,3,72089,Annual,accuracy of the represent volume in the block model be critical for the very narrow very high grade rmv,0.0031779661016949155,399,0.08809952,0,"Site is attempting accurate depletions of small, narrow drive and stope volumes using 3D solid wireframes. Accuracy of the represented volume in the block model is critical for the very narrow, very high grade RMV. The HW and FW surfaces used for modelling the RMV would be based initially on the PDAP defined gridded surfaces, but would be continuously updated with new batches of face sample data.",,,,,,,,high grade
a092434_c63-2010 partial surrender 031011_16034574_78_81,a092434_c63-2010 partial surrender 031011_16034574.json,119,2,78,81,4,92434,Partial Surrender,aurora consider the laterite to be a possible deposit type although tonnage potential be clearly limit another potential source of manganese mineralization be the detrital material shed from erode laterite and the massive manganese oxide on the ridge top associate with the ullawarra formation siltstone,0.03361344537815126,541,0.1616932,0,"There are rare outcrops of massive manganese oxide within the laterite but these are rare compared to ironstone and silica. Aurora considered the laterite to be a possible deposit type, although tonnage potential was clearly limited. Another potential source of manganese mineralization is the detrital material shedding from eroding laterite and the massive manganese oxide on the ridge tops associated with the Ullawarra Formation siltstone. By the time the siltstone sheds from the ridge tops the Mn content is generally greater than 20%.",,,"manganese, oxide, silica, manganese, manganese, oxide",,"laterite, ironstone, laterite, laterite, siltstone, siltstone",Ullawarra Formation,,"possible, potential, potential, mineralization"
a071950_c591_1994_2005a_16001655_324_326,a071950_c591_1994_2005a_16001655.json,797,2,324,326,3,71950,Annual,a number of subeconomic zone of mineralisation be intersect in the target position in june 2004 an rc programme be undertake to test the along strike and down dip extension of mineralisation between the exist deposit in the toms and sams zone,0.0037641154328732734,400,0.24761605,0,A number of subeconomic zones of mineralisation were intersected in the targeted positions. In June 2004 an RC programme was undertaken to test the along strike and down dip extensions of mineralisation between the existing deposits in the Toms and Sams Zone. In August 2004 drilling was conducted 250m SSE of the Toms Pit and was designed to test the offset of the Toms Jasperoid south of the fault.,"June 2004, August 2004",,,,Jasperoid,,,"subeconomic, mineralisation, mineralisation"
a087657_c69-2003_2010a_15078005_165_169,a087657_c69-2003_2010a_15078005.json,206,3,165,169,5,87657,Annual,mineralisation be develop within a stratabound envelope and be partly control by localised quartz sulphide veinlet which generally occur in the sericite schist mineralisation also occur as sulphidic veinlet and bleb in the chlorite schist be propose that the gold and quartz may have be partially remobilise from initially siliceous tuff,0.024271844660194167,511,0.5634061,1,"The graphitic schists have likely originated from shales, and are often sulphidic. Mineralisation is developed within a stratabound envelope, and is partly controlled by localised quartz ( sulphides) veinlets which generally occur in the sericite schists. Mineralisation also occurs as sulphidic veinlets and blebs in the chlorite schist. It is proposed that the gold and quartz may have been partially remobilised from initially siliceous tuffs. The Mesa area is 16km north of the Golden Terrace South deposit.",,,"quartz, sulphides, sericite, chlorite, gold, quartz",,"graphitic schists, shales, schists, schist, tuffs",,,proposed
a077389_p16_2155_2007_14498050_35_37,a077389_p16_2155_2007_14498050.json,62,2,35,37,3,77389,Annual,extensive exploration over a 5-year period include gridding soil geochemical survey and the drilling of 51 rab hole no economic gold mineralisation be discover and the tenement be relinquish on the 5th of june 1997,0.04838709677419355,356,0.027478145,0,"Extensive exploration over a 5-year period included gridding, soil geochemical surveys and the drilling of 51 RAB holes. No economic gold mineralisation was discovered and the tenements were relinquished on the 5th of June 1997. During the period December 1997 to December 2001 the tenement was acquired by another party and the number changed to P16/1930.","5-year, the period December 1997 to December 2001",,gold,,,,,"Extensive, mineralisation, discovered"
a088200_c89_1994_2010a_pio_15245915_292_294,a088200_c89_1994_2010a_pio_15245915.json,342,1,292,294,3,88200,Annual,in the assessment appendix 3 nigel identify the intersect ultramafic be predominantly high mgo cumulate with the implication that there be potential for type 2 nickel sulphide mt keith though limit potential for a kambalda style type 1 deposit,0.008771929824561403,486,0.0051222104,0,"4.3 GRD009 Lithogeochemical Assessment Nigel Brand of Geochemical Service Pty Ltd conducted a lithogeochemical appraisal of GRD009. In the assessment (Appendix 3) Nigel identified: The intersected ultramafic is predominantly high MgO cumulate, with the implication that there is potential for type 2 nickel sulphides (Mt Keith) though limited potential for a Kambalda style Type 1 deposit. The forsterite content is Fo83, with a typical komatiite having forsterite contents of Fo90Fo94.",,Kambalda,"nickel, sulphides, forsterite, forsterite",,komatiite,,,"potential, potential"
a078529_sr_2008a _16200587_414_417,a078529_sr_2008a _16200587.json,443,2,414,417,4,78529,Annual,in november 2007 moly mines commission resource potential to plan and implement a dipole dipole induce polarisation ddip survey over the spinifex ridge project the aim of this program be to provide an understanding of the ddip signal of the deposit in order to relate this to other regional project and to examine the potential for other intrusion proximal to the main ore body,0.009029345372460496,713,0.08874825,0,"The granites have a range of intrusion date between 3.3Ga and 2.6Ga. In November 2007 Moly Mines commissioned Resource Potentials to plan and implement a dipole-dipole induced polarisation (DDIP) survey over the Spinifex Ridge Project. The aim of this program was to provide an understanding of the DDIP signal of the deposit in order to relate this to other regional projects and to examine the potential for other intrusions proximal to the main ore body. Page 21 of 40 The survey was conducted in two campaigns in November - December 2007 and January 2008 by Zonge Engineering, seven lines were planned in the first campaign and six in the second campaign based principally on the results of the first program.","2.6Ga, November 2007, November - December 2007, January 2008",Spinifex Ridge,,,granites,,,potential
a097087_hp_final_surr_2012_11882602_30_32,a097087_hp_final_surr_2012_11882602.json,146,1,30,32,3,97087,Final Surrender,encounter resources ltd have enter into a standard heritage agreement with the yugunga claiment and a heritage survey of the hillview prospect drill line be complete on 12 th june 2007 prior to the commencement of drilling in july 2007,0.02054794520547945,478,0.253934,0,The tenement sits along the southern boundary of the Yugunga Native Title Claim (WC99/046). Encounter Resources Ltd have entered into a Standard Heritage Agreement with the Yugunga Claiments and a heritage survey of the Hillview Prospect drill lines was completed on 12 th June 2007 prior to the commencement of drilling in July 2007. FINAL SURRENDER REPORT 2011 - 2012 9 Figure 6 shows a plan of drillhole locations and the representative sections that were created (in green).,"12 th June 2007, July 2007, 2011 - 2012",,,,,,,
a079607_combinedreportc11_1995_2007-08_11847935_38_41,a079607_combinedreportc11_1995_2007-08_11847935.json,222,2,38,41,4,79607,Annual,gold mineralisation within the norseman region be generally host by narrow very high grade quartz reef in mafic host rock of the woolyeenyer and penneshaw formation the focus for exploration in the past have be the mainfield deposit within the woolyeenyer with a move from the mid to late 1990 to the east with the discovery of significant gold anomalism from aircore drilling in the penneshaw formation,0.01801801801801801,712,0.015235203000000001,0,"Exploration activities have recommenced with the aim of securing the long term future of the operation. Gold mineralisation within the Norseman region is generally hosted by narrow, very high grade quartz reefs in mafic host rocks of the Woolyeenyer and Penneshaw Formations. The focus for exploration in the past has been the Mainfield Deposits within the Woolyeenyer, with a move from the mid to late 1990s to the east with the discovery of significant gold anomalism from Aircore drilling in the Penneshaw Formation. During the 2007/2008 reporting period, a total of 1,788 underground and surface diamond, RC drill holes and face samples were drilled/collected for 42,422.1 metres within the Norseman project.","the mid to late 1990s, 2007/2008","long, Norseman, Norseman","Gold, quartz, gold, diamond",,host rocks,"Penneshaw Formations, Penneshaw Formation",,"mineralisation, high grade, significant, anomalism"
a090060_annual report e31_877a_15655814_3_5,a090060_annual report e31_877a_15655814.json,44,1,3,5,3,90060,Annual,result the tenement area contain rocktype and structural site prospective for gold mineralization,0.06818181818181818,383,0.8651042999999999,1,"Work done: After interpretation of aeromagnetic data, exploration conducted in the reporting period consisted of a field visit to ascertain regolith type and depth of cover with regional assessment of rocktypes and previous drilling. Results: The tenement area contains rocktypes and structural sites prospective for gold mineralization. The area is essentially untested by drilling.",,,gold,,regolith,,,"prospective, mineralization"
a078619_p27_1685_2008a_16041997_195_197,a078619_p27_1685_2008a_16041997.json,220,1,195,197,3,78619,Annual,the shear be relatively be relatively thin 20 30 m show no sign of dilational fracturing and have little or no potential for economic gold mineralisation,0.013636363636363636,386,0.07018027,0,"The western shear has been described as essentially a brecciated and sheared feature separating the western quartz phyric schist and the peridotites. The shear is relatively is relatively thin (20-30m), shows no sign of dilational fracturing and has little or no potential for economic gold mineralisation. The central shear has numerous shafts and pits dotted along its eastern margin.",,,"quartz, gold",,"schist, peridotites",,,"potential, mineralisation"
a098302_e15_1155_2013s_15593117_422_424,a098302_e15_1155_2013s_15593117.json,1203,1,422,424,3,98302,Final Surrender,the high grade of 148 g t au report for the matrix reef be an indication of the very coarse nature of the gold mineralisation,0.002493765586034913,473,0.62965417,1,"The relative changes in pressure (access to extensional openings), or in composition of host rocks (carbonaceous material), cause the fluids to become unstable causing gold precipitation. The high grade of 148 g/t Au reported for the Matrix Reef is an indication of the very coarse nature of the gold mineralisation. The McIntyre Goldfield is characterised by coarse gold nuggets, which appear to be derived from both primary (hydrothermal) and secondary (regolith) fluids.",,,"gold, gold, gold, hydrothermal",,"host rocks, regolith",,,"high grade, mineralisation"
a084743_report m16_506_mf_2009a - part f_15660512_55_59,a084743_report m16_506_mf_2009a - part f_15660512.json,533,3,55,59,5,84743,Annual,majority of the fin prospect undergo rc drilling in april 2006 the drilling programme result in no significant mineralisation at depth in the follow target fin 1 to fin2 fin4 to fin6 and fin 8 only fin 9 prospect return with encouraging result at that time,0.009380863039399627,623,0.009218285,0,"With the exception of FIN3 and FIN7, which were excluded because of identified priority plant species over these targets, and FIN8_9 (renamed later to FIN11), a long ridge between FIN8 and FIN9, remain untested because of relative isolation from existing tracks. Majority of the FIN prospects underwent RC drilling in April 2006. The drilling programme resulted in no significant mineralisation at depth in the following targets: FIN 1 to FIN2, FIN4 to FIN6 and FIN 8. Only FIN 9 prospect returned with encouraging results at that time. FIN3 was downgraded too, due to surficial similarities and proximity to FIN1 and FIN2.",April 2006,long,,,,,,"prospects, significant, mineralisation, prospect"
a080946_c246_2007_2008a_8873215_148_150,a080946_c246_2007_2008a_8873215.json,188,1,148,150,3,80946,Annual,this channel be up to 118metres in depth and contain the favourable carbonaceous sand and gravel typical of this style of uranium mineralisation,0.015957446808510637,449,0.10545586,0,"The Stage 1 drilling programme has clearly defined the palaeochannel upstream of the Ponton deposit. This channel is up to 118metres in depth, and contains the favourable carbonaceous sands and gravels typical of this style of uranium mineralisation. A Phase 3 programme of infill drilling 36 holes, with lines approximately 4km apart and with holes 400m apart along line between profile 5 and 10, is considered to be the most appropriate follow up.",10,,,uranium,"sands, gravels",,,"favourable, mineralisation"
a100949_e53-1680_annual report_gidgee south_2013_9721382_30_32,a100949_e53-1680_annual report_gidgee south_2013_9721382.json,84,1,30,32,3,100949,Annual,this anticline contain the gold mineralisation at gidgee heron reliance and manakado,0.03571428571428571,385,0.77318484,1,"The whole sequence has been refolded about tight NNE axes, and this has produced two main synclines containing the upper sedimentary unit separated by a narrow anticline of the central unit basalts. This anticline contains the gold mineralisation at Gidgee, Heron, Reliance and Manakado. The western syncline appears to be doubly plunging, suggesting later open folding about E-W axes.",,Gidgee,gold,,basalts,,,mineralisation
a071872_700-100-go-rep-0004_14133621_120_122,a071872_700-100-go-rep-0004_14133621.json,131,1,120,122,3,71872,Annual,the resource potential at the thomsons prospect be dependant on the outcome of these test result,0.022900763358778626,404,0.89378333,1,This testwork is critical in understanding the mineral characteristics and deportment of arsenic and cobalt in relation to concentrates produced at the new Telfer mill. The resource potential at the Thomsons prospect is dependant on the outcome of these test results. SITE SERVICES AND UTILITIES 7.1 WATER SUPPLY No new water bores were drilled within the tenement areas during the 2005 reporting period.,2005,Telfer,arsenic,,,,,"potential, prospect"
a100105_dmp arc p09-466 final report 27nov13_16105987_28_32,a100105_dmp arc p09-466 final report 27nov13_16105987.json,70,3,28,32,5,100105,Final Surrender,5 a key report comprise an extensive study undertake in 1996 by j.m . pearson as part of thesis work for uwa describe in much detail the ree mineralisation at yangibana the unpublished report be title alkaline rock of the gifford creek complex gascoyne province western australia petrogenic and tectonic significance,0.07142857142857142,627,0.017154675,0,"Moderately low values in excess of 100ppm were returned from most samples for Europium (100 to 300ppm) and Yttrium (100-200ppm) Low values, with all remaining REE generally far less than 50ppm. 5 A key report comprising an extensive study undertaken in 1996 by J.M. Pearson as part of her thesis work for UWA describes in much detail the REE mineralisation at Yangibana. The unpublished report is titled: Alkaline Rocks of the Gifford Creek Complex, Gascoyne Province, Western Australia: Their petrogenic and tectonic Significance. Pearson was the first who recognised and studied the high-level alkaline Gifford Creek Complex.",1996,"Gascoyne Province, Western Australia",,,Alkaline Rocks,,,"extensive, mineralisation, Significance"
a100190_e31_967_2013s_13994563_68_70,a100190_e31_967_2013s_13994563.json,89,1,68,70,3,100190,Final Surrender,the gold mineralisation be associate with stack zone of fracture quartz veining and breccia,0.033707865168539325,323,0.287308,0,"Million Dollar is located near the southern end of a 1km long, N-S trending, brittle-ductile shear zone. The gold mineralisation is associated with stacked zones of fracturing, quartz veining and breccias. Quartz veins up to 30cm wide dip 35-45o and appear to splay from a basal, 1-2m thick zone of veining and brecciation.",,long,"Dollar, gold, quartz",,"breccias, Quartz veins",,,mineralisation
a096905_c92-2001_2012a_11173275_22_24,a096905_c92-2001_2012a_11173275.json,161,1,22,24,3,96905,Annual,9 figure 6 sample location and anomalous result as plot,0.018633540372670808,255,0.17380261,0,"9 Figure 5: Location of the Paddys Well Fault along the Nanjilgardy Fault Zone. 9 Figure 6: Sample location and anomalous results (As plotted). 10 List of Tables Table 1: Summary of exploration completed between 1st January, 2012 to 31st December, 2012. .","between 1st January, 2012 to 31st December, 2012",,,,,,,anomalous
a107575_dmp haz e46-822 finalsurrenderreport nov15_27_29,a107575_dmp haz e46-822 finalsurrenderreport nov15.json,139,1,27,29,3,107575,Final Surrender,ultraviolet uv survey be recommend to assist in identify feature of interest give that scheelite fluoresce a bright blue under short wave uv light,0.02158273381294964,384,0.040594514,0,"A rock-chip sampling programme, combined with a vein/dyke analysis, as done in Area A is planned within the central target area. Ultraviolet (UV) surveys are recommended to assist in identifying features of interest (given that scheelite fluoresces a bright blue under short wave UV light). Cookes Creek is situated 210 km NNE of Newman and approximately 40 km northeast of Nullagine.",,"Newman, Nullagine",scheelite,,,,,"assist in identifying, bright"
a095137_e51_1397_2012_a_01_reportbody_15981526_12_14,a095137_e51_1397_2012_a_01_reportbody_15981526.json,53,2,12,14,3,95137,Annual,1.4 exploration target rationale the northern yilgarn province be consider to be prospective for calcrete host uranium mineralisation similar to that at the world class yeerlirrie uranium deposit despite many of the know radiometric anomaly throughout the yilgarn region have be drill test potential exist for blind target with anomalism potentially obscure by quaternary cover sequence,0.05660377358490566,511,0.0003338795,0,"The calcrete consists mainly of pure carbonate with minor silicified opaline patches and grit patches. 1.4 Exploration Target Rationale The northern Yilgarn province is considered to be prospective for calcrete-hosted uranium mineralisation, similar to that at the world-class Yeerlirrie uranium deposit. Despite many of the known radiometric anomalies throughout the Yilgarn region having been drill tested, potential exists for blind targets, with anomalism potentially obscured by Quaternary cover sequences.",,,"carbonate, opaline","uranium, uranium deposit","calcrete, calcrete",,Quaternary,"prospective, mineralisation, potential, anomalism, potentially"
a106095_e70_2513_2015s_50_52,a106095_e70_2513_2015s.json,85,1,50,52,3,106095,Final Surrender,no significant precious metal result be report leonard 2011 appendix 1,0.035294117647058816,413,0.23426113,0,Rock chip samples taken from a reconnaissance visit to the Dodgey-Torquata anomaly area returned high iron values from samples taken adjacent to the magnetic anomaly and a relatively high lithium value in a lag sample. No significant precious metal results were reported (Leonard; 2011) (Appendix 1). A ground magnetic survey comprising 22 lines at 100 m spacing and 1 tie line totalling 33 line km was completed.,2011,,iron,precious metal,lag,,,significant
a080675_final_we_annualreport_october27_2008_14551796_211_212,a080675_final_we_annualreport_october27_2008_14551796.json,426,1,211,212,2,80675,Annual,flora and vegetation survey polaris metal propose drill line,0.004694835680751174,265,0.23207974,0,"Flora and Vegetation Survey Polaris Metals Proposed Drill Lines. Jims Seeds, Weeds & Trees Pty Ltd T/A Botanica Consulting 4 Presence/absence data of species from sample sites of similar vegetation was then compiled forming one best representative vegetation group.",,,,,,,,Proposed
